time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter,.Quality
2022/10/11/16:47:59.090096,108,1665546479,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:00.059307,109,1665546480,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:01.092702,110,1665546481,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:02.073957,111,1665546482,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:03.089539,112,1665546483,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:04.068938,113,1665546484,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:05.087527,114,1665546485,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:06.067110,115,1665546486,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:07.094689,116,1665546487,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:08.070198,117,1665546488,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:09.090298,118,1665546489,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:10.076329,119,1665546490,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:11.095923,120,1665546491,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:12.071556,121,1665546492,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:13.091166,122,1665546493,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:14.071182,123,1665546494,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:15.098270,124,1665546495,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:16.070529,125,1665546496,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:17.104598,126,1665546497,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4
2022/10/11/16:48:18.066236,127,1665546498,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:19.082695,128,1665546499,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:20.073211,129,1665546500,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:21.075328,130,1665546501,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:22.079156,131,1665546502,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:23.076468,132,1665546503,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:24.078148,133,1665546504,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:25.074251,134,1665546505,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:26.077070,135,1665546506,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:27.067248,136,1665546507,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:28.080113,137,1665546508,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:29.076738,138,1665546509,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:30.074603,139,1665546510,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:31.076879,140,1665546511,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:32.083122,141,1665546512,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:33.069529,142,1665546513,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:34.077432,143,1665546514,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:35.075122,144,1665546515,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:36.070569,145,1665546516,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:37.071025,146,1665546517,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:38.082030,147,1665546518,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:39.081716,148,1665546519,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:40.067871,149,1665546520,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.400000095367432,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:41.082015,150,1665546521,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.400000095367432,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:42.080683,151,1665546522,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:43.078618,152,1665546523,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:44.075600,153,1665546524,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.400000095367432,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:45.067315,154,1665546525,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.400000095367432,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:46.072437,155,1665546526,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:47.071222,156,1665546527,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.400000095367432,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:48.076359,157,1665546528,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:49.077101,158,1665546529,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:50.080076,159,1665546530,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:51.072751,160,1665546531,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:52.072672,161,1665546532,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:53.075115,162,1665546533,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:54.066903,163,1665546534,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:55.070627,164,1665546535,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:56.076173,165,1665546536,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:57.075267,166,1665546537,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
2022/10/11/16:48:58.083583,167,1665546538,0,GPS1_Frame,42.337276458740234,-71.08708953857422,7.5,328064.1875,4689334.5,19,T,4
