time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter,.Quality
2022/10/17/10:10:38.059027,171,1666041038,0,GPS1_Frame,42.33961486816406,-71.08702850341797,2.5999999046325684,328075.96875,4689593.5,19,T,2
2022/10/17/10:10:39.062635,172,1666041039,0,GPS1_Frame,42.33960723876953,-71.08702087402344,2.299999952316284,328076.34375,4689593.0,19,T,5
2022/10/17/10:10:40.063540,173,1666041040,0,GPS1_Frame,42.339603424072266,-71.0870132446289,3.299999952316284,328077.09375,4689592.5,19,T,5
2022/10/17/10:10:41.074727,174,1666041041,0,GPS1_Frame,42.33960723876953,-71.08700561523438,2.9000000953674316,328077.78125,4689593.0,19,T,5
2022/10/17/10:10:42.069688,175,1666041042,0,GPS1_Frame,42.33960723876953,-71.08699798583984,2.799999952316284,328078.46875,4689593.0,19,T,5
2022/10/17/10:10:43.072636,176,1666041043,0,GPS1_Frame,42.339599609375,-71.08699035644531,3.700000047683716,328078.9375,4689592.0,19,T,5
2022/10/17/10:10:44.068782,177,1666041044,0,GPS1_Frame,42.339595794677734,-71.08698272705078,4.5,328079.40625,4689591.5,19,T,5
2022/10/17/10:10:45.065825,178,1666041045,0,GPS1_Frame,42.33959197998047,-71.08697509765625,4.800000190734863,328079.84375,4689591.0,19,T,5
2022/10/17/10:10:46.065656,179,1666041046,0,GPS1_Frame,42.33958435058594,-71.08697509765625,4.900000095367432,328080.09375,4689590.5,19,T,5
2022/10/17/10:10:47.067838,180,1666041047,0,GPS1_Frame,42.339576721191406,-71.08696746826172,5.300000190734863,328080.59375,4689589.5,19,T,5
2022/10/17/10:10:48.068792,181,1666041048,0,GPS1_Frame,42.339576721191406,-71.08695983886719,5.599999904632568,328081.0,4689589.5,19,T,5
2022/10/17/10:10:49.063378,182,1666041049,0,GPS1_Frame,42.339569091796875,-71.08695983886719,6.400000095367432,328081.5,4689589.0,19,T,5
2022/10/17/10:10:50.067228,183,1666041050,0,GPS1_Frame,42.33956527709961,-71.08695220947266,7.099999904632568,328081.96875,4689588.5,19,T,5
2022/10/17/10:10:51.071521,184,1666041051,0,GPS1_Frame,42.339561462402344,-71.08694458007812,7.900000095367432,328082.5,4689588.0,19,T,5
2022/10/17/10:10:52.067737,185,1666041052,0,GPS1_Frame,42.33955383300781,-71.0869369506836,9.300000190734863,328082.90625,4689587.0,19,T,5
2022/10/17/10:10:53.062990,186,1666041053,0,GPS1_Frame,42.33954620361328,-71.0869369506836,10.199999809265137,328083.3125,4689586.0,19,T,5
2022/10/17/10:10:54.071990,187,1666041054,0,GPS1_Frame,42.339534759521484,-71.08692932128906,10.899999618530273,328084.03125,4689584.5,19,T,5
2022/10/17/10:10:55.070736,188,1666041055,0,GPS1_Frame,42.33952713012695,-71.08692169189453,11.399999618530273,328084.46875,4689584.0,19,T,5
2022/10/17/10:10:56.069189,189,1666041056,0,GPS1_Frame,42.33952331542969,-71.0869140625,11.699999809265137,328084.75,4689583.5,19,T,5
2022/10/17/10:10:57.065793,190,1666041057,0,GPS1_Frame,42.339515686035156,-71.0869140625,12.199999809265137,328085.21875,4689582.5,19,T,5
2022/10/17/10:10:58.071872,191,1666041058,0,GPS1_Frame,42.339508056640625,-71.08690643310547,12.5,328085.625,4689581.5,19,T,5
2022/10/17/10:10:59.069201,192,1666041059,0,GPS1_Frame,42.339500427246094,-71.08689880371094,12.800000190734863,328085.90625,4689581.0,19,T,5
2022/10/17/10:11:00.066555,193,1666041060,0,GPS1_Frame,42.33949661254883,-71.08689880371094,12.899999618530273,328086.21875,4689580.5,19,T,5
2022/10/17/10:11:01.067189,194,1666041061,0,GPS1_Frame,42.3394889831543,-71.08689880371094,13.100000381469727,328086.4375,4689579.5,19,T,5
2022/10/17/10:11:02.068877,195,1666041062,0,GPS1_Frame,42.33948516845703,-71.0868911743164,13.199999809265137,328086.5625,4689579.5,19,T,5
2022/10/17/10:11:03.071537,196,1666041063,0,GPS1_Frame,42.33948516845703,-71.0868911743164,13.399999618530273,328086.78125,4689579.0,19,T,5
2022/10/17/10:11:04.072704,197,1666041064,0,GPS1_Frame,42.339481353759766,-71.08688354492188,13.399999618530273,328087.0625,4689578.5,19,T,5
2022/10/17/10:11:05.065871,198,1666041065,0,GPS1_Frame,42.3394775390625,-71.08688354492188,13.5,328087.125,4689578.5,19,T,5
2022/10/17/10:11:06.067535,199,1666041066,0,GPS1_Frame,42.339473724365234,-71.08688354492188,13.600000381469727,328087.1875,4689578.0,19,T,5
2022/10/17/10:11:07.074266,200,1666041067,0,GPS1_Frame,42.33946990966797,-71.08688354492188,13.600000381469727,328087.34375,4689577.5,19,T,5
2022/10/17/10:11:08.065597,201,1666041068,0,GPS1_Frame,42.33946228027344,-71.08687591552734,13.300000190734863,328087.75,4689576.5,19,T,5
2022/10/17/10:11:09.067807,202,1666041069,0,GPS1_Frame,42.339454650878906,-71.08687591552734,13.199999809265137,328088.0625,4689576.0,19,T,2
2022/10/17/10:11:10.071250,203,1666041070,0,GPS1_Frame,42.339447021484375,-71.08687591552734,13.199999809265137,328087.90625,4689575.0,19,T,5
2022/10/17/10:11:11.062070,204,1666041071,0,GPS1_Frame,42.33944320678711,-71.08688354492188,13.399999618530273,328087.53125,4689574.5,19,T,5
2022/10/17/10:11:12.075659,205,1666041072,0,GPS1_Frame,42.33943557739258,-71.08688354492188,13.399999618530273,328087.3125,4689573.5,19,T,5
2022/10/17/10:11:13.075562,206,1666041073,0,GPS1_Frame,42.33943176269531,-71.08688354492188,13.600000381469727,328087.03125,4689573.0,19,T,5
2022/10/17/10:11:14.067805,207,1666041074,0,GPS1_Frame,42.33942413330078,-71.0868911743164,13.699999809265137,328086.71875,4689572.5,19,T,5
2022/10/17/10:11:15.092268,208,1666041075,0,GPS1_Frame,42.339420318603516,-71.0868911743164,13.800000190734863,328086.34375,4689572.0,19,T,5
2022/10/17/10:11:16.076054,209,1666041076,0,GPS1_Frame,42.339420318603516,-71.08689880371094,13.600000381469727,328085.96875,4689572.0,19,T,5
2022/10/17/10:11:17.086949,210,1666041077,0,GPS1_Frame,42.33941650390625,-71.08690643310547,13.5,328085.5,4689571.5,19,T,5
2022/10/17/10:11:18.075968,211,1666041078,0,GPS1_Frame,42.33941650390625,-71.08690643310547,13.5,328085.0,4689571.5,19,T,5
2022/10/17/10:11:19.098545,212,1666041079,0,GPS1_Frame,42.339412689208984,-71.0869140625,13.800000190734863,328084.5,4689571.0,19,T,5
2022/10/17/10:11:20.070012,213,1666041080,0,GPS1_Frame,42.33940887451172,-71.08692169189453,13.699999809265137,328083.90625,4689571.0,19,T,5
2022/10/17/10:11:21.089287,214,1666041081,0,GPS1_Frame,42.33940887451172,-71.08692932128906,13.600000381469727,328083.34375,4689570.5,19,T,5
2022/10/17/10:11:22.073920,215,1666041082,0,GPS1_Frame,42.33940505981445,-71.0869369506836,13.800000190734863,328082.78125,4689570.5,19,T,2
2022/10/17/10:11:23.096889,216,1666041083,0,GPS1_Frame,42.33940505981445,-71.08694458007812,13.800000190734863,328082.125,4689570.5,19,T,5
2022/10/17/10:11:24.074819,217,1666041084,0,GPS1_Frame,42.33940124511719,-71.08695220947266,13.699999809265137,328081.5625,4689570.0,19,T,5
2022/10/17/10:11:25.091965,218,1666041085,0,GPS1_Frame,42.339393615722656,-71.08695983886719,13.899999618530273,328081.0625,4689569.5,19,T,5
2022/10/17/10:11:26.077784,219,1666041086,0,GPS1_Frame,42.339393615722656,-71.08695983886719,14.0,328080.65625,4689569.0,19,T,5
2022/10/17/10:11:27.091469,220,1666041087,0,GPS1_Frame,42.33938980102539,-71.08696746826172,14.199999809265137,328080.21875,4689569.0,19,T,5
2022/10/17/10:11:28.077699,221,1666041088,0,GPS1_Frame,42.33938980102539,-71.08697509765625,14.300000190734863,328079.71875,4689568.5,19,T,5
2022/10/17/10:11:29.095515,222,1666041089,0,GPS1_Frame,42.339385986328125,-71.08698272705078,14.100000381469727,328079.09375,4689568.5,19,T,5
2022/10/17/10:11:30.074304,223,1666041090,0,GPS1_Frame,42.339385986328125,-71.08699035644531,14.0,328078.5,4689568.5,19,T,5
2022/10/17/10:11:31.090767,224,1666041091,0,GPS1_Frame,42.339385986328125,-71.08699798583984,13.899999618530273,328077.875,4689568.0,19,T,5
2022/10/17/10:11:32.084760,225,1666041092,0,GPS1_Frame,42.339385986328125,-71.08700561523438,13.899999618530273,328077.3125,4689568.5,19,T,5
2022/10/17/10:11:33.110217,226,1666041093,0,GPS1_Frame,42.339385986328125,-71.08700561523438,13.699999809265137,328076.78125,4689568.0,19,T,5
2022/10/17/10:11:34.080408,227,1666041094,0,GPS1_Frame,42.33938217163086,-71.0870132446289,13.5,328076.21875,4689568.0,19,T,5
2022/10/17/10:11:35.107126,228,1666041095,0,GPS1_Frame,42.33938217163086,-71.08702087402344,13.399999618530273,328075.6875,4689568.0,19,T,5
2022/10/17/10:11:36.074076,229,1666041096,0,GPS1_Frame,42.339378356933594,-71.08702850341797,13.199999809265137,328075.15625,4689567.5,19,T,5
2022/10/17/10:11:37.093075,230,1666041097,0,GPS1_Frame,42.33937454223633,-71.0870361328125,13.100000381469727,328074.5625,4689567.5,19,T,5
2022/10/17/10:11:38.070600,231,1666041098,0,GPS1_Frame,42.33937454223633,-71.08704376220703,12.699999809265137,328073.9375,4689567.0,19,T,5
2022/10/17/10:11:39.101112,232,1666041099,0,GPS1_Frame,42.33937454223633,-71.08705139160156,12.699999809265137,328073.4375,4689567.0,19,T,5
2022/10/17/10:11:40.073042,233,1666041100,0,GPS1_Frame,42.33937454223633,-71.0870590209961,12.699999809265137,328072.84375,4689567.0,19,T,5
2022/10/17/10:11:41.095500,234,1666041101,0,GPS1_Frame,42.33937072753906,-71.0870590209961,12.600000381469727,328072.28125,4689567.0,19,T,5
2022/10/17/10:11:42.079132,235,1666041102,0,GPS1_Frame,42.3393669128418,-71.08706665039062,12.399999618530273,328071.6875,4689566.5,19,T,5
2022/10/17/10:11:43.091107,236,1666041103,0,GPS1_Frame,42.3393669128418,-71.08707427978516,12.399999618530273,328071.0625,4689566.0,19,T,5
2022/10/17/10:11:44.076097,237,1666041104,0,GPS1_Frame,42.33936309814453,-71.08708190917969,12.300000190734863,328070.46875,4689566.0,19,T,5
2022/10/17/10:11:45.099049,238,1666041105,0,GPS1_Frame,42.339359283447266,-71.08708953857422,12.199999809265137,328069.84375,4689566.0,19,T,5
2022/10/17/10:11:46.076270,239,1666041106,0,GPS1_Frame,42.339359283447266,-71.08709716796875,12.100000381469727,328069.15625,4689565.5,19,T,5
2022/10/17/10:11:47.094286,240,1666041107,0,GPS1_Frame,42.339359283447266,-71.08710479736328,12.100000381469727,328068.59375,4689565.5,19,T,5
2022/10/17/10:11:48.079782,241,1666041108,0,GPS1_Frame,42.33936309814453,-71.08711242675781,12.0,328068.21875,4689566.5,19,T,5
2022/10/17/10:11:49.096503,242,1666041109,0,GPS1_Frame,42.3393669128418,-71.08711242675781,12.0,328067.9375,4689566.5,19,T,5
2022/10/17/10:11:50.084988,243,1666041110,0,GPS1_Frame,42.33937454223633,-71.08712005615234,12.0,328067.65625,4689567.0,19,T,5
2022/10/17/10:11:51.101060,244,1666041111,0,GPS1_Frame,42.33937454223633,-71.08712005615234,12.0,328067.4375,4689567.5,19,T,5
2022/10/17/10:11:52.080915,245,1666041112,0,GPS1_Frame,42.339378356933594,-71.08712768554688,11.899999618530273,328067.15625,4689568.0,19,T,5
2022/10/17/10:11:53.100099,246,1666041113,0,GPS1_Frame,42.339385986328125,-71.08712768554688,11.800000190734863,328066.96875,4689568.5,19,T,5
2022/10/17/10:11:54.084089,247,1666041114,0,GPS1_Frame,42.33938980102539,-71.08712768554688,11.699999809265137,328066.65625,4689569.0,19,T,5
2022/10/17/10:11:55.098860,248,1666041115,0,GPS1_Frame,42.339393615722656,-71.0871353149414,11.600000381469727,328066.34375,4689569.5,19,T,5
2022/10/17/10:11:56.069360,249,1666041116,0,GPS1_Frame,42.33939743041992,-71.0871353149414,11.600000381469727,328066.09375,4689570.0,19,T,5
2022/10/17/10:11:57.100192,250,1666041117,0,GPS1_Frame,42.33940124511719,-71.08714294433594,11.699999809265137,328065.75,4689570.5,19,T,5
2022/10/17/10:11:58.077274,251,1666041118,0,GPS1_Frame,42.33940505981445,-71.08715057373047,11.600000381469727,328065.4375,4689571.0,19,T,5
2022/10/17/10:11:59.103963,252,1666041119,0,GPS1_Frame,42.339412689208984,-71.08715057373047,11.600000381469727,328065.125,4689571.5,19,T,5
2022/10/17/10:12:00.081954,253,1666041120,0,GPS1_Frame,42.33941650390625,-71.087158203125,11.600000381469727,328064.78125,4689572.0,19,T,5
2022/10/17/10:12:01.103517,254,1666041121,0,GPS1_Frame,42.339420318603516,-71.087158203125,11.600000381469727,328064.40625,4689572.5,19,T,5
2022/10/17/10:12:02.084161,255,1666041122,0,GPS1_Frame,42.33942794799805,-71.08716583251953,11.600000381469727,328064.09375,4689573.0,19,T,5
2022/10/17/10:12:03.107603,256,1666041123,0,GPS1_Frame,42.33943176269531,-71.08716583251953,11.800000190734863,328063.75,4689574.0,19,T,5
2022/10/17/10:12:04.088521,257,1666041124,0,GPS1_Frame,42.339439392089844,-71.08717346191406,11.800000190734863,328063.46875,4689574.5,19,T,5
2022/10/17/10:12:05.088886,258,1666041125,0,GPS1_Frame,42.33944320678711,-71.08717346191406,11.800000190734863,328063.1875,4689575.0,19,T,5
2022/10/17/10:12:06.085696,259,1666041126,0,GPS1_Frame,42.339447021484375,-71.0871810913086,11.800000190734863,328063.0,4689575.5,19,T,5
